# time msd_polymer_x msd_polymer_y msd_polymer_z msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
      0.0000   0.00000000   0.00000000   0.00000000   0.00000000   0.00000000
     10.0000   0.14615254   9.67430571   3.77750993   2.96777714   2.92901864
     20.0000   0.31786935  20.31080439   7.93610012   6.22139340   6.15331088
     30.0000   0.49285426  31.09176335  12.20313541   9.50941654   9.37921139
     40.0000   0.67192114  41.87260514  16.49053842  12.81964117  12.56242555
     50.0000   0.85208147  52.68613888  20.79357325  16.09858944  15.79397619
     60.0000   1.03298355  63.50676154  25.11681047  19.39037854  18.99957253
     70.0000   1.21429529  74.33870123  29.45243351  22.66921262  22.21705510
     80.0000   1.39587993  85.13441395  33.75050219  25.91655355  25.46735820
     90.0000   1.57737498  95.89781863  38.06243943  29.11418121  28.72119798
    100.0000   1.75918206 106.63176138  42.40065755  32.26729483  31.96380900
    110.0000   1.94117460 117.32742653  46.71276051  35.43831870  35.17634732
    120.0000   2.12227379 128.02379951  51.03344264  38.58233280  38.40802407
    130.0000   2.30399771 138.72444356  55.33341860  41.75045313  41.64057183
    140.0000   2.48681041 149.39565540  59.62101459  44.90690818  44.86773263
    150.0000   2.66927546 160.10390095  63.95737335  48.07350647  48.07302113
    160.0000   2.85394125 170.73071518  68.30042359  51.19671667  51.23357493
    170.0000   3.03973621 181.32309881  72.64259853  54.33056721  54.34993308
    180.0000   3.22563513 191.96397308  76.98821791  57.46351792  57.51223725
    190.0000   3.41223953 202.66276445  81.36863948  60.59728418  60.69684080
    200.0000   3.59908657 213.41049249  85.74667694  63.73824967  63.92556587
    210.0000   3.78713110 224.13688998  90.10303586  66.89068696  67.14316716
    220.0000   3.97543389 234.84022517  94.47897181  69.99935848  70.36189489
    230.0000   4.16586849 245.55987800  98.89494351  73.06806886  73.59686563
    240.0000   4.35512235 256.23973903 103.32651715  76.09652929  76.81669259
    250.0000   4.54416213 266.88076844 107.72880289  79.12910554  80.02286000
    260.0000   4.73281130 277.58109429 112.14469905  82.19461636  83.24177888
    270.0000   4.92185540 288.28662356 116.54290195  85.28743907  86.45628255
    280.0000   5.11163747 298.93277313 120.95322640  88.31038917  89.66915755
    290.0000   5.30123229 309.60681202 125.37653962  91.31542156  92.91485085
    300.0000   5.49120624 320.37399494 129.83076950  94.34994434  96.19328110
    310.0000   5.68012962 331.08309116 134.23995508  97.40277841  99.44035768
    320.0000   5.86841394 341.73398226 138.63797912 100.46581819 102.63018496
    330.0000   6.05727005 352.33201334 143.07082706 103.50910957 105.75207672
    340.0000   6.24726405 362.83971759 147.49505879 106.50645340 108.83820539
    350.0000   6.43728341 373.31917602 151.89844841 109.52589167 111.89483594
    360.0000   6.62675612 383.77564454 156.28647196 112.53393195 114.95524063
    370.0000   6.81763795 394.17893553 160.66946649 115.50900854 118.00046050
    380.0000   7.00821943 404.59502806 165.04779330 118.46667059 121.08056417
    390.0000   7.19936671 414.92390101 169.35390923 121.40315862 124.16683316
    400.0000   7.39113066 425.28521002 173.66593932 124.34801419 127.27125651
    410.0000   7.58369055 435.66512405 177.97379001 127.30954604 130.38178800
    420.0000   7.77672467 446.14731166 182.31869059 130.33776433 133.49085675
    430.0000   7.97090023 456.56138303 186.61800032 133.36602879 136.57735392
    440.0000   8.16556876 466.93357683 190.88120516 136.41180141 139.64057026
    450.0000   8.36032273 477.21115963 195.06957800 139.45223355 142.68934808
    460.0000   8.55452294 487.48445608 199.25305578 142.47773043 145.75366987
    470.0000   8.74947150 497.80123637 203.44781010 145.51769905 148.83572722
    480.0000   8.94693969 508.12342627 207.60721434 148.58649386 151.92971807
    490.0000   9.14571256 518.35841006 211.69436115 151.64616883 155.01788008
    500.0000   9.34536685 528.58176371 215.80099389 154.71689826 158.06387155
    510.0000   9.54596910 538.78954466 219.82140150 157.81424954 161.15389363
    520.0000   9.74799064 549.05379179 223.86413641 160.96680514 164.22285023
    530.0000   9.94976497 559.36049067 227.92870632 164.10765642 167.32412794
    540.0000  10.15056028 569.68429822 232.11129317 167.21244511 170.36055994
    550.0000  10.35194729 579.93958816 236.24071846 170.34244500 173.35642471
    560.0000  10.55380969 590.27433636 240.41886568 173.49107609 176.36439460
    570.0000  10.75552027 600.69230939 244.65107831 176.65502799 179.38620309
    580.0000  10.95677463 611.16258406 248.94160848 179.80937678 182.41159880
    590.0000  11.15809438 621.53920423 253.20033588 182.92473416 185.41413419
    600.0000  11.35921098 631.86112574 257.41088518 186.04221058 188.40802998
    610.0000  11.56023120 642.13334757 261.58935828 189.14084981 191.40313948
    620.0000  11.76184585 652.29848697 265.71391590 192.20552129 194.37904978
    630.0000  11.96514272 662.44881994 269.83421727 195.26520395 197.34939872
    640.0000  12.16923831 672.71838976 274.01138855 198.31622994 200.39077127
    650.0000  12.37288304 682.99425728 278.25393308 201.35035103 203.38997318
    660.0000  12.57595068 693.20530647 282.43619265 204.39759366 206.37152016
    670.0000  12.78027634 703.48457115 286.65995292 207.44316424 209.38145399
    680.0000  12.98568372 713.75875920 290.90244226 210.48302966 212.37328728
    690.0000  13.19136109 723.98640294 295.16891581 213.48330130 215.33418584
    700.0000  13.39723789 734.13849282 299.34048484 216.50878843 218.28921954
    710.0000  13.60304285 744.20399033 303.40949537 219.56535074 221.22914422
    720.0000  13.80934002 754.33489907 307.53095293 222.63190450 224.17204164
    730.0000  14.01608536 764.48579551 311.68843589 225.70610294 227.09125668
    740.0000  14.22324943 774.61265771 315.79837879 228.77923768 230.03504123
    750.0000  14.43073082 784.79726716 319.99455538 231.83692783 232.96578395
