# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
      0.0000  -0.00000182  -0.00000381  -0.00000048  -0.00000095  -0.00000012
     10.0000   3.39708071   9.65941346   3.78202835   2.93537161   2.94201350
     20.0000   6.20965682  20.18881958   7.89633759   6.17313559   6.11934639
     30.0000   8.86557506  30.86353069  12.08497858   9.44460388   9.33394823
     40.0000  11.42109885  41.64914617  16.27436169  12.75709734  12.61768714
     50.0000  13.90484317  52.43355977  20.46133685  16.10146734  15.87075558
     60.0000  16.33021321  63.22453450  24.62502951  19.42084914  19.17865585
     70.0000  18.71239721  73.95657287  28.72526153  22.71713334  22.51417800
     80.0000  21.05314427  84.64297046  32.77938532  26.01095062  25.85263452
     90.0000  23.35781044  95.43240851  36.87390235  29.35203160  29.20647456
    100.0000  25.63905322 106.17230061  41.03096816  32.66318135  32.47815110
    110.0000  27.89156339 116.83063643  45.17456863  35.88277212  35.77329568
    120.0000  30.12168269 127.45490062  49.29560918  39.08669180  39.07259964
    130.0000  32.34414665 138.10658673  53.43412109  42.28345603  42.38900961
    140.0000  34.56152602 148.76437513  57.57376247  45.41964240  45.77097025
    150.0000  36.77061870 159.43504835  61.71782017  48.54220767  49.17502051
    160.0000  38.96603128 170.00195823  65.79170218  51.68714588  52.52311016
    170.0000  41.15397548 180.61679450  69.90185828  54.84557810  55.86935812
    180.0000  43.33440195 191.21861802  73.96195936  58.03026081  59.22639785
    190.0000  45.51275725 201.90003081  78.08436065  61.20880081  62.60686934
    200.0000  47.69052665 212.65662010  82.29662686  64.35316932  66.00682391
    210.0000  49.86947202 223.48130336  86.54307506  67.53305431  69.40517399
    220.0000  52.04133081 234.31782476  90.78891469  70.72395916  72.80495091
    230.0000  54.21065757 245.11454168  95.06673627  73.82784853  76.21995689
    240.0000  56.38401976 255.89676435  99.34674140  76.90895014  79.64107280
    250.0000  58.55873015 266.71294176 103.62826660  80.02190632  83.06276884
    260.0000  60.73629928 277.57796930 107.91218843  83.18374462  86.48203625
    270.0000  62.92134218 288.44303744 112.21713283  86.38212992  89.84377468
    280.0000  65.10753431 299.28314186 116.46836799  89.61235701  93.20241687
    290.0000  67.29382557 310.04220602 120.68869158  92.81868919  96.53482525
    300.0000  69.48194670 320.83360185 124.92229950  96.02298375  99.88831859
    310.0000  71.66695610 331.63746561 129.14831209  99.24476934 103.24438417
    320.0000  73.84912976 342.54080339 133.43231554 102.49841829 106.61006956
    330.0000  76.03682916 353.42835370 137.72745906 105.71736730 109.98352734
    340.0000  78.22430679 364.28771493 142.01939956 108.93154441 113.33677096
    350.0000  80.41471753 375.11545141 146.28255273 112.16722729 116.66567140
    360.0000  82.60803976 385.86118380 150.48049331 115.40788200 119.97280848
