# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
      0.0000  -0.00000887  -0.00000763  -0.00000024  -0.00000191  -0.00000381
     10.0000   6.28582380   9.67430571   3.77750993   2.96777714   2.92901864
     20.0000  13.25448344  20.31080439   7.93610012   6.22139340   6.15331088
     30.0000  20.36957945  31.09176335  12.20313541   9.50941654   9.37921139
     40.0000  27.55589872  41.87260514  16.49053842  12.81964117  12.56242555
     50.0000  34.77284227  52.68613888  20.79357325  16.09858944  15.79397619
     60.0000  42.01107528  63.50676154  25.11681047  19.39037854  18.99957253
     70.0000  49.26772658  74.33870123  29.45243351  22.66921262  22.21705510
     80.0000  56.54537568  85.13441395  33.75050219  25.91655355  25.46735820
     90.0000  63.83948550  95.89781863  38.06243943  29.11418121  28.72119798
    100.0000  71.13027155 106.63176138  42.40065755  32.26729483  31.96380900
    110.0000  78.41976355 117.32742653  46.71276051  35.43831870  35.17634732
    120.0000  85.70331240 128.02379951  51.03344264  38.58233280  38.40802407
    130.0000  92.98447639 138.72444356  55.33341860  41.75045313  41.64057183
    140.0000 100.25778625 149.39565540  59.62101459  44.90690818  44.86773263
    150.0000 107.52325581 160.10390095  63.95737335  48.07350647  48.07302113
    160.0000 114.77310828 170.73071518  68.30042359  51.19671667  51.23357493
    170.0000 122.02685754 181.32309881  72.64259853  54.33056721  54.34993307
    180.0000 129.28647654 191.96397308  76.98821791  57.46351792  57.51223725
    190.0000 136.54889045 202.66276445  81.36863948  60.59728418  60.69684080
    200.0000 143.80864463 213.41049249  85.74667694  63.73824967  63.92556587
    210.0000 151.06566948 224.13688998  90.10303586  66.89068696  67.14316716
    220.0000 158.33059830 234.84022517  94.47897181  69.99935848  70.36189489
    230.0000 165.60225893 245.55987800  98.89494351  73.06806886  73.59686563
    240.0000 172.86858123 256.23973903 103.32651715  76.09652929  76.81669259
    250.0000 180.13030499 266.88076844 107.72880289  79.12910554  80.02286000
    260.0000 187.39220368 277.58109429 112.14469905  82.19461636  83.24177888
    270.0000 194.65813743 288.28662356 116.54290195  85.28743907  86.45628255
    280.0000 201.91929139 298.93277313 120.95322640  88.31038917  89.66915755
