# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
      0.0000  -0.00000322  -0.00000763  -0.00000381   0.00000000  -0.00000036
     10.0000   4.70616601   9.74634508   3.79124598   2.96903496   2.98606415
     20.0000   9.43592938  20.42613167   7.96424203   6.24837903   6.21351060
     30.0000  14.30288591  31.22782887  12.19914421   9.53884361   9.48984105
     40.0000  19.24345776  41.99689398  16.39388463  12.83848250  12.76452684
     50.0000  24.22440539  52.72114226  20.55311078  16.13093573  16.03709575
     60.0000  29.22553214  63.42979347  24.72621055  19.39278286  19.31080007
     70.0000  34.23879699  74.02528087  28.84885197  22.59242439  22.58400451
     80.0000  39.25912103  84.56477938  32.99628138  25.79471803  25.77377997
     90.0000  44.28122557  95.12106713  37.17789059  28.98486675  28.95830979
    100.0000  49.30605119 105.61671385  41.31120928  32.15464127  32.15086331
    110.0000  54.33720552 116.10103203  45.44085868  35.30838930  35.35178405
    120.0000  59.36912836 126.62900898  49.56383319  38.48527240  38.57990339
    130.0000  64.41314497 137.19703129  53.73217191  41.63809330  41.82676608
    140.0000  69.45520023 147.82270691  57.93846002  44.81332537  45.07092152
    150.0000  74.49809964 158.44135433  62.15069412  47.97703695  48.31362326
    160.0000  79.54376121 169.05046362  66.38770146  51.13970727  51.52305488
    170.0000  84.59353904 179.75697269  70.69157402  54.34462031  54.72077835
    180.0000  89.64649935 190.37792366  74.94665704  57.51773070  57.91353593
    190.0000  94.69864575 201.02654837  79.21288335  60.69505261  61.11861240
    200.0000  99.73804880 211.68800995  83.51181748  63.86786549  64.30832698
    210.0000 104.77569379 222.25684956  87.79796031  67.00234827  67.45654097
    220.0000 109.81254508 232.81484528  92.09458799  70.09392071  70.62633659
    230.0000 114.85153783 243.34849881  96.37884029  73.19083593  73.77882259
    240.0000 119.88800204 253.85070052 100.60833018  76.28430691  76.95806342
    250.0000 124.92223856 264.31562540 104.79318118  79.37912592  80.14331829
    260.0000 129.95065169 274.79812310 108.99781487  82.47722301  83.32308522
    270.0000 134.98264140 285.30627857 113.22971323  85.56360687  86.51295847
    280.0000 140.01636640 295.83297240 117.43867309  88.66893891  89.72536040
    290.0000 145.04748602 306.34732343 121.63884932  91.75509383  92.95338028
    300.0000 150.07589965 316.85710432 125.88314455  94.82721546  96.14674431
    310.0000 155.09791112 327.32300259 130.14191717  97.90643877  99.27464665
    320.0000 160.12378291 337.73543629 134.37226595 100.96065445 102.40251589
    330.0000 165.15270659 348.18109241 138.60677026 104.03663746 105.53768469
    340.0000 170.17810362 358.65007295 142.86636718 107.08892863 108.69477714
    350.0000 175.20034052 369.00713554 147.07432808 110.10751460 111.82529285
    360.0000 180.21958150 379.39962918 151.28192348 113.13533925 114.98236645
    370.0000 185.24551277 389.74344834 155.41575050 116.18992251 118.13777533
    380.0000 190.26913984 400.10521685 159.51120308 119.25766631 121.33634746
    390.0000 195.29165154 410.40812866 163.57946645 122.34629070 124.48237151
    400.0000 200.31614260 420.67427034 167.62291184 125.40781709 127.64354141
    410.0000 205.34398935 430.85983701 171.65849649 128.43236055 130.76897997
    420.0000 210.38436021 441.11637062 175.70953776 131.49392745 133.91290541
    430.0000 215.42026681 451.39043166 179.79519343 134.54717690 137.04806132
    440.0000 220.45002255 461.68191167 183.94335273 137.59496309 140.14359585
    450.0000 225.47359993 471.87925991 188.05245029 140.59738327 143.22942635
    460.0000 230.49397257 482.11792522 192.14916768 143.59205900 146.37669854
    470.0000 235.51644074 492.34691166 196.23494562 146.56813976 149.54382627
    480.0000 240.52895464 502.54057883 200.30561763 149.53550727 152.69945393
    490.0000 245.54512066 512.68394895 204.38185191 152.47945353 155.82264351
    500.0000 250.56526438 522.91500322 208.43899880 155.45384484 159.02215959
    510.0000 255.58425545 533.13782036 212.51018577 158.43861183 162.18902276
    520.0000 260.59910703 543.29004242 216.55171633 161.39777702 165.34054907
    530.0000 265.62151175 553.43247540 220.58920970 164.34104779 168.50221791
    540.0000 270.65317313 563.58671580 224.64979643 167.31746446 171.61945491
    550.0000 275.69267986 573.79574258 228.76763732 170.31374645 174.71435882
    560.0000 280.73464633 584.02382533 232.90031705 173.30599215 177.81751612
    570.0000 285.77130166 594.18497252 237.00343211 176.25896971 180.92257069
    580.0000 290.79751812 604.30108247 241.10970222 179.19897377 183.99240649
    590.0000 295.82355794 614.34158015 245.16586477 182.11931495 187.05640042
    600.0000 300.85114805 624.41125242 249.28610260 184.99837121 190.12677861
    610.0000 305.89057445 634.47273882 253.36271562 187.91669522 193.19332797
    620.0000 310.93425992 644.72643634 257.49942693 190.87649465 196.35051476
    630.0000 315.98178007 655.01448893 261.60989423 193.87596092 199.52863378
    640.0000 321.02724872 665.25837749 265.64313433 196.91470698 202.70053617
    650.0000 326.06896856 675.48425122 269.67853116 199.97876496 205.82695509
    660.0000 331.09733117 685.70665766 273.71756480 203.01883149 208.97026137
    670.0000 336.11426845 695.85247576 277.76607813 206.00635667 212.08004097
    680.0000 341.12784348 706.05021640 281.79597622 209.01393587 215.24030432
    690.0000 346.13808854 716.21849012 285.84154342 212.02070434 218.35624236
    700.0000 351.14964448 726.32629743 289.87806114 214.99659787 221.45163842
    710.0000 356.17289975 736.46574501 293.87423074 218.00269964 224.58881464
    720.0000 361.19545302 746.61495745 297.84785177 221.06257608 227.70452960
    730.0000 366.21463166 756.76500884 301.78011385 224.18210179 230.80279320
    740.0000 371.22523217 766.87661624 305.70375726 227.30515904 233.86769994
    750.0000 376.23375300 776.94601863 309.64585975 230.37750212 236.92265676
    760.0000 381.24706145 787.02343984 313.59520188 233.45225968 239.97597827
    770.0000 386.26901153 797.02509669 317.53237603 236.51420937 242.97851129
    780.0000 391.29493178 807.00108342 321.49907247 239.51099783 245.99101313
    790.0000 396.32012192 816.91429003 325.46454205 242.47796069 248.97178730
    800.0000 401.33927203 826.76610421 329.39370338 245.40983279 251.96256804
    810.0000 406.36147585 836.49091553 333.27504509 248.27858341 254.93728703
    820.0000 411.37706246 846.18848452 337.13441109 251.15290590 257.90116753
    830.0000 416.38052821 855.88123956 340.93704050 254.06513061 260.87906845
    840.0000 421.38255743 865.56703323 344.67458343 256.99694767 263.89550214
    850.0000 426.38498549 875.23362141 348.39754402 259.92465549 266.91142190
